Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Control_1 Spectral Count	Control_2 Spectral Count	Control_3 Spectral Count	Ubi1_1 Spectral Count	Ubi1_2 Spectral Count	Ubi1_3 Spectral Count	Ubi4_1 Spectral Count	Ubi4_2 Spectral Count	Ubi4_3 Spectral Count	Ubi6_1 Spectral Count	Ubi6_2 Spectral Count	Ubi6_3 Spectral Count	Control_1 Unique Spectral Count	Control_2 Unique Spectral Count	Control_3 Unique Spectral Count	Ubi1_1 Unique Spectral Count	Ubi1_2 Unique Spectral Count	Ubi1_3 Unique Spectral Count	Ubi4_1 Unique Spectral Count	Ubi4_2 Unique Spectral Count	Ubi4_3 Unique Spectral Count	Ubi6_1 Unique Spectral Count	Ubi6_2 Unique Spectral Count	Ubi6_3 Unique Spectral Count	Control_1 Total Spectral Count	Control_2 Total Spectral Count	Control_3 Total Spectral Count	Ubi1_1 Total Spectral Count	Ubi1_2 Total Spectral Count	Ubi1_3 Total Spectral Count	Ubi4_1 Total Spectral Count	Ubi4_2 Total Spectral Count	Ubi4_3 Total Spectral Count	Ubi6_1 Total Spectral Count	Ubi6_2 Total Spectral Count	Ubi6_3 Total Spectral Count	Control_1 Intensity	Control_2 Intensity	Control_3 Intensity	Ubi1_1 Intensity	Ubi1_2 Intensity	Ubi1_3 Intensity	Ubi4_1 Intensity	Ubi4_2 Intensity	Ubi4_3 Intensity	Ubi6_1 Intensity	Ubi6_2 Intensity	Ubi6_3 Intensity	Control_1 MaxLFQ Intensity	Control_2 MaxLFQ Intensity	Control_3 MaxLFQ Intensity	Ubi1_1 MaxLFQ Intensity	Ubi1_2 MaxLFQ Intensity	Ubi1_3 MaxLFQ Intensity	Ubi4_1 MaxLFQ Intensity	Ubi4_2 MaxLFQ Intensity	Ubi4_3 MaxLFQ Intensity	Ubi6_1 MaxLFQ Intensity	Ubi6_2 MaxLFQ Intensity	Ubi6_3 MaxLFQ Intensity	Indistinguishable Proteins
sp|O14684|PTGES_HUMAN	O14684	PTGES_HUMAN	PTGES	152	Homo sapiens OX=9606	1:Experimental evidence at protein level	Prostaglandin E synthase	0.9978	0.9988	2	7	7	7	0	1	1	0	1	0	0	0	0	1	2	1	0	1	1	0	1	0	0	0	0	1	2	1	0	1	1	0	1	0	0	0	0	1	2	1	8.393636E7	1.0104984E8	8.6972528E7	0.0	1.00122136E8	1.02671408E8	2.9752044E7	4.166642E7	2.8728072E7	1.37730656E8	7.9483424E8	7.4648134E8	0.0	8.3477616E7	8.5172624E7	0.0	1.007214E8	1.22349504E8	0.0	0.0	0.0	1.6302288E8	4.16201088E8	4.22647616E8	
sp|O14732|IMPA2_HUMAN	O14732	IMPA2_HUMAN	IMPA2	288	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inositol monophosphatase 2	1.0	0.999	8	42	38	42	6	1	4	3	3	4	3	3	3	4	4	4	6	1	3	2	2	3	3	3	3	4	4	4	6	1	4	3	3	4	3	3	3	4	4	4	3.79425536E8	2.42149472E8	2.82229696E8	4.0252496E8	2.7085376E8	1.94493296E8	2.13126112E8	3.25330688E8	3.697128E8	3.7744256E8	2.01167312E8	2.35142576E8	1.85986768E8	1.44734672E8	1.49234304E8	1.58055344E8	1.41348192E8	1.44685984E8	1.01138304E8	1.67656352E8	2.09022016E8	1.80093264E8	1.38826064E8	1.52613968E8	
sp|O14733|MP2K7_HUMAN	O14733	MP2K7_HUMAN	MAP2K7	419	Homo sapiens OX=9606	1:Experimental evidence at protein level	Dual specificity mitogen-activated protein kinase kinase 7	1.0	0.999	8	19	19	19	1	1	1	0	3	1	3	1	3	2	1	2	1	1	1	0	3	1	3	1	3	2	1	2	1	1	1	0	3	1	3	1	3	2	1	2	9558507.0	9322930.0	1.0105315E7	0.0	1.5678928E7	1.0680324E7	3.03947E7	1.9871616E7	4.2038496E7	8935467.0	1.9113594E7	4.9769192E7	0.0	0.0	0.0	0.0	1.2310293E7	0.0	2.3043784E7	0.0	2.3738258E7	0.0	0.0	2.6360858E7	
sp|O14734|ACOT8_HUMAN	O14734	ACOT8_HUMAN	ACOT8	319	Homo sapiens OX=9606	1:Experimental evidence at protein level	Acyl-coenzyme A thioesterase 8	1.0	0.9986	3	11	11	11	0	1	2	1	2	2	0	1	0	1	1	0	0	1	2	1	2	2	0	1	0	1	1	0	0	1	2	1	2	2	0	1	0	1	1	0	2.7157444E7	2.03633E7	2.1328764E7	0.0	0.0	1.8179284E7	0.0	9632795.0	1.4588837E7	0.0	0.0	1.742008E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14735|CDIPT_HUMAN	O14735	CDIPT_HUMAN	CDIPT	213	Homo sapiens OX=9606	1:Experimental evidence at protein level	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	0.9472	0.999	1	7	7	7	0	2	1	1	1	0	0	0	1	0	1	0	0	2	1	1	1	0	0	0	1	0	1	0	0	2	1	1	1	0	0	0	1	0	1	0	0.0	3.6390276E7	2.4565842E7	3.5131844E7	2.8733956E7	0.0	0.0	0.0	0.0	3.4118092E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14744|ANM5_HUMAN	O14744	ANM5_HUMAN	PRMT5	637	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein arginine N-methyltransferase 5	1.0	0.999	21	135	135	135	7	11	15	10	14	14	9	6	12	13	10	14	7	11	15	10	14	14	9	6	12	13	10	14	7	11	15	10	14	14	9	6	12	13	10	14	4.52470752E8	4.03516064E8	4.5061776E8	5.5182944E8	5.9873075E8	5.3780224E8	4.76776032E8	3.51795328E8	5.9543597E8	6.680745E8	4.49815328E8	5.7467443E8	1.17627192E8	1.22673328E8	1.01373504E8	1.26089168E8	1.31448544E8	1.1513148E8	1.13188112E8	9.2940696E7	1.45750416E8	1.35373712E8	1.11022808E8	1.5152288E8	
sp|O14745|NHRF1_HUMAN	O14745	NHRF1_HUMAN	SLC9A3R1	358	Homo sapiens OX=9606	1:Experimental evidence at protein level	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	1.0	0.999	14	93	93	93	7	11	9	5	5	11	7	9	7	8	8	6	7	11	9	5	5	11	7	9	7	8	8	6	7	11	9	5	5	11	7	9	7	8	8	6	3.64752096E8	4.88224928E8	5.35385408E8	5.00916256E8	6.5777101E8	7.7718701E8	6.418784E8	6.2284909E8	7.1218938E8	7.3427648E8	8.2454266E8	8.3537741E8	1.4269608E8	1.45554752E8	1.54750432E8	1.8164328E8	1.36099136E8	1.76588112E8	2.30201712E8	2.37272576E8	2.23102544E8	2.48501024E8	2.6183896E8	2.62247808E8	
sp|O14770|MEIS2_HUMAN	O14770	MEIS2_HUMAN	MEIS2	477	Homo sapiens OX=9606	1:Experimental evidence at protein level	Homeobox protein Meis2	1.0	0.9989	11	18	18	59	2	1	3	0	1	2	2	2	1	0	2	2	2	1	3	0	1	2	2	2	1	0	2	2	6	5	8	0	5	9	4	6	5	0	5	6	2.4323864E8	5.4054024E7	6.5103448E7	4.3135892E7	3.95819E7	3.4732472E7	1.4543888E8	7.3236976E7	5.5176344E7	0.0	6.4550716E7	6.1930864E7	9.6038432E7	0.0	6.5645032E7	0.0	3.984932E7	0.0	8.1593512E7	0.0	0.0	0.0	0.0	0.0	
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0	0.999	2	8	8	8	1	1	2	0	0	0	0	0	2	1	0	1	1	1	2	0	0	0	0	0	2	1	0	1	1	1	2	0	0	0	0	0	2	1	0	1	2.0837162E7	0.0	3.1790378E7	0.0	1.4230367E7	0.0	4913056.5	0.0	2.0476792E7	1.286921E7	0.0	4046516.0	0.0	0.0	2.0554528E7	0.0	1.1049764E7	0.0	0.0	0.0	1.4417649E7	0.0	0.0	0.0	
sp|O14776|TCRG1_HUMAN	O14776	TCRG1_HUMAN	TCERG1	1098	Homo sapiens OX=9606	1:Experimental evidence at protein level	Transcription elongation regulator 1	1.0	0.999	4	14	14	24	2	1	1	1	1	3	0	1	1	0	2	1	2	1	1	1	1	3	0	1	1	0	2	1	3	2	2	2	2	4	0	2	2	0	3	2	3.054666E7	0.0	1.867325E7	0.0	1.4567864E7	1.9377612E7	0.0	0.0	2.3893556E7	1.5727959E7	5.3199656E7	2.6928656E7	1.5554571E7	0.0	1.1500368E7	0.0	0.0	9799999.0	0.0	0.0	1.8134558E7	0.0	3.0011746E7	0.0	
sp|O14795|UN13B_HUMAN	O14795	UN13B_HUMAN	UNC13B	1591	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein unc-13 homolog B	0.8646	0.9971	1	2	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14802|RPC1_HUMAN	O14802	RPC1_HUMAN	POLR3A	1390	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA-directed RNA polymerase III subunit RPC1	0.9895	0.9959	2	3	3	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14818|PSA7_HUMAN	O14818	PSA7_HUMAN	PSMA7	248	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-7	1.0	0.999	6	37	17	37	4	4	2	1	5	5	2	1	5	2	3	3	2	2	1	0	1	2	1	1	3	1	1	2	4	4	2	1	5	5	2	1	5	2	3	3	1.46429984E8	6.287594E7	1.39550176E8	1.20434208E8	1.10146232E8	1.51056112E8	1.9406448E8	1.1293488E8	2.20011184E8	7.6663248E7	1.12544248E8	1.55353136E8	6.4673356E7	5.682698E7	4.1083156E7	4.7665948E7	3.0902798E7	6.2939068E7	7.9441504E7	6.4289624E7	6.5891224E7	3.589498E7	5.3850156E7	7.9234816E7	
sp|O14828|SCAM3_HUMAN	O14828	SCAM3_HUMAN	SCAMP3	347	Homo sapiens OX=9606	1:Experimental evidence at protein level	Secretory carrier-associated membrane protein 3	1.0	0.9987	4	17	17	17	1	1	2	2	3	2	3	1	0	1	0	1	1	1	2	2	3	2	3	1	0	1	0	1	1	1	2	2	3	2	3	1	0	1	0	1	5.524634E7	4.136458E7	5.6914376E7	5.7942248E7	7.1122096E7	5.2506652E7	1.12313248E8	5.2145464E7	5.6903644E7	8.3262912E7	8.4164952E7	7.8453024E7	0.0	0.0	2.1800924E7	3.653732E7	4.4951264E7	3.37338E7	7.0556824E7	0.0	3.0225644E7	5.246888E7	5.3281804E7	4.824458E7	
sp|O14832|PAHX_HUMAN	O14832	PAHX_HUMAN	PHYH	338	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phytanoyl-CoA dioxygenase, peroxisomal	0.9942	0.9944	1	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	764297.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14841|OPLA_HUMAN	O14841	OPLA_HUMAN	OPLAH	1288	Homo sapiens OX=9606	1:Experimental evidence at protein level	5-oxoprolinase	0.7864	0.995	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	3567750.8	6991980.5	0.0	0.0	0.0	0.0	6495044.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14874|BCKD_HUMAN	O14874	BCKD_HUMAN	BCKDK	412	Homo sapiens OX=9606	1:Experimental evidence at protein level	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	1.0	0.999	13	127	127	127	9	13	21	5	14	14	7	6	12	12	6	8	9	13	21	5	14	14	7	6	12	12	6	8	9	13	21	5	14	14	7	6	12	12	6	8	1.42289638E9	1.47265229E9	2.25625728E9	1.8759657E9	2.33776998E9	2.59459456E9	3.2345513E9	2.7282345E9	3.86945997E9	3.3302569E9	2.62830106E9	2.37522458E9	7.6073734E8	7.1699667E8	1.12151629E9	8.4592461E8	1.22593754E9	1.53887078E9	1.62334707E9	1.56684954E9	1.80034432E9	1.46126157E9	1.58035238E9	1.2210743E9	
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens OX=9606	1:Experimental evidence at protein level	Microsomal glutathione S-transferase 3	0.9998	0.999	1	14	14	14	0	1	3	1	1	3	0	0	2	3	0	0	0	1	3	1	1	3	0	0	2	3	0	0	0	1	3	1	1	3	0	0	2	3	0	0	1.2717186E7	3.0266744E7	8.9336672E7	0.0	8.5053296E7	7.4710728E7	5437677.0	0.0	5.1196888E7	3.2427912E7	0.0	0.0	0.0	0.0	5.4209192E7	0.0	5.3897012E7	4.683504E7	0.0	0.0	3.2264842E7	2.1458978E7	0.0	0.0	
sp|O14920|IKKB_HUMAN	O14920	IKKB_HUMAN	IKBKB	756	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inhibitor of nuclear factor kappa-B kinase subunit beta	1.0	0.999	18	95	91	95	1	1	0	0	0	0	17	10	21	16	16	13	1	1	0	0	0	0	17	9	20	15	15	13	1	1	0	0	0	0	17	10	21	16	16	13	5616066.0	1921674.8	2207096.2	1.6220922E7	8359905.0	6987154.0	1.11826432E9	9.9080621E8	1.0452985E9	1.1559369E9	1.1226761E9	5.897728E8	0.0	0.0	0.0	2.45301E7	0.0	5732155.5	1.51909536E8	1.6212392E8	1.33653696E8	1.60170144E8	1.50592304E8	1.2186908E8	
sp|O14925|TIM23_HUMAN	O14925	TIM23_HUMAN	TIMM23	209	Homo sapiens OX=9606	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit Tim23	1.0	0.999	2	13	2	13	1	0	3	1	1	1	1	1	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	1	1	1	1	1	1	1	1	1	6.7675912E7	9.1937744E7	8.1845296E7	7.8293248E7	6.9695136E7	7.6834752E7	9.2336648E7	9.8351688E7	8.8937312E7	8.3208E7	8.321736E7	7.8342184E7	0.0	8.2426E7	6.095554E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	Homo sapiens OX=9606	1:Experimental evidence at protein level	Histone acetyltransferase type B catalytic subunit	1.0	0.999	5	30	30	30	3	2	1	2	3	1	2	4	3	2	3	4	3	2	1	2	3	1	2	4	3	2	3	4	3	2	1	2	3	1	2	4	3	2	3	4	2.9606958E7	4.8555272E7	4.3165484E7	8.7400416E7	6.3059836E7	1.4163279E7	1.2115012E8	9.290536E7	1.14954144E8	2.7756098E7	9.1338776E7	5.5499832E7	1.6319885E7	3.0620182E7	2.6492756E7	5.647082E7	4.0480456E7	0.0	0.0	4.530962E7	5.4652168E7	0.0	5.8771984E7	0.0	
sp|O14936|CSKP_HUMAN	O14936	CSKP_HUMAN	CASK	926	Homo sapiens OX=9606	1:Experimental evidence at protein level	Peripheral plasma membrane protein CASK	1.0	0.9988	3	5	5	5	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	1	0	1	1	2	0.0	0.0	0.0	0.0	3146811.8	0.0	0.0	1.679112E7	0.0	4948897.0	1.4137582E7	9243890.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 8	1.0	0.999	7	29	29	29	3	3	5	2	3	5	3	2	1	0	0	2	3	3	5	2	3	5	3	2	1	0	0	2	3	3	5	2	3	5	3	2	1	0	0	2	7.3968848E7	2.0270902E7	1.02792152E8	3.893114E7	6.0426384E7	9.9235648E7	8.1954592E7	6.6211944E7	9.9032352E7	0.0	2.340212E7	6.6203776E7	1.7848486E7	2.288495E7	4.2216968E7	2.8762674E7	2.8641962E7	3.9553836E7	4.981774E7	3.9568312E7	4.6882048E7	0.0	0.0	3.350809E7	
sp|O14950|ML12B_HUMAN	O14950	ML12B_HUMAN	MYL12B	172	Homo sapiens OX=9606	1:Experimental evidence at protein level	Myosin regulatory light chain 12B	1.0	0.999	4	27	0	27	3	2	2	3	4	1	3	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	3	4	1	3	2	2	2	1	2	1.21034224E8	1.38507984E8	8.1791992E7	1.258976E8	1.42060016E8	7.4298536E7	6.7010076E7	8.1742752E7	8.2114696E7	8.563944E7	6.231572E7	8.2401048E7	8.2064752E7	6.8754136E7	4.0456376E7	6.6941304E7	6.8976448E7	5.0051892E7	4.62411E7	0.0	5.7067436E7	5.1663716E7	0.0	0.0	sp|P19105|ML12A_HUMAN
sp|O14964|HGS_HUMAN	O14964	HGS_HUMAN	HGS	777	Homo sapiens OX=9606	1:Experimental evidence at protein level	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.0	0.999	17	118	118	118	3	6	6	4	11	9	13	10	14	19	11	12	3	6	6	4	11	9	13	10	14	19	11	12	3	6	6	4	11	9	13	10	14	19	11	12	1.81076256E8	4.4256432E8	2.79917024E8	3.03663968E8	5.24440992E8	2.99290112E8	1.27111117E9	1.0441625E9	1.75874125E9	3.13720115E9	2.05589197E9	1.8116361E9	6.134576E7	7.4375464E7	6.247268E7	6.8853344E7	6.2736104E7	6.846412E7	2.70863328E8	2.27078992E8	2.89264928E8	4.3966288E8	4.16363104E8	3.64992544E8	
sp|O14965|AURKA_HUMAN	O14965	AURKA_HUMAN	AURKA	403	Homo sapiens OX=9606	1:Experimental evidence at protein level	Aurora kinase A	1.0	0.999	8	35	32	35	2	3	10	0	5	1	3	1	3	5	1	1	1	3	9	0	4	1	3	1	3	5	1	1	2	3	10	0	5	1	3	1	3	5	1	1	4.0898164E7	7.7575976E7	1.02454504E8	4.4757832E7	9.5388088E7	3.4034E7	1.1671564E8	3.144515E7	1.33315536E8	8.0870328E7	4.3340612E7	1.8759438E7	0.0	3.3047684E7	2.9861478E7	2.7915976E7	3.5897484E7	2.3302326E7	5.25166E7	0.0	5.708654E7	3.361572E7	4.1764952E7	0.0	
sp|O14966|RAB7L_HUMAN	O14966	RAB7L_HUMAN	RAB29	203	Homo sapiens OX=9606	1:Experimental evidence at protein level	Ras-related protein Rab-7L1	1.0	0.9989	3	6	6	6	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	0	0	0	2	2	0	0	1	1	7233591.5	3.8885512E7	2.7690148E7	2.1692748E7	1.3065411E7	1.4866397E7	5.8030624E7	3.3668164E7	4.0335648E7	3.3471E7	2.830948E7	3.2349724E7	0.0	2.8872924E7	2.0475172E7	0.0	0.0	0.0	3.294782E7	0.0	3.0883252E7	2.4770654E7	0.0	0.0	
sp|O14974|MYPT1_HUMAN	O14974	MYPT1_HUMAN	PPP1R12A	1030	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein phosphatase 1 regulatory subunit 12A	1.0	0.999	4	8	8	8	0	1	1	2	1	2	0	0	0	0	1	0	0	1	1	2	1	2	0	0	0	0	1	0	0	1	1	2	1	2	0	0	0	0	1	0	0.0	2816654.5	2635320.0	3689651.0	2478720.2	3026442.2	0.0	0.0	0.0	1214896.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O14975|S27A2_HUMAN	O14975	S27A2_HUMAN	SLC27A2	620	Homo sapiens OX=9606	1:Experimental evidence at protein level	Very long-chain acyl-CoA synthetase	1.0	0.9989	10	42	42	42	3	2	3	4	3	4	4	3	6	4	3	3	3	2	3	4	3	4	4	3	6	4	3	3	3	2	3	4	3	4	4	3	6	4	3	3	7.2312392E7	6.871224E7	8.666812E7	8.7732472E7	5.6639888E7	8.9910688E7	1.25580672E8	8.484512E7	1.11783464E8	1.41136624E8	8.1342448E7	6.833764E7	5.10284E7	6.285218E7	5.9221448E7	6.1142628E7	3.9426632E7	6.5141032E7	5.5632052E7	4.4976576E7	6.016024E7	6.1008868E7	4.1276156E7	5.1063788E7	
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	Homo sapiens OX=9606	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein D-like	1.0	0.999	4	32	13	38	3	2	2	3	3	1	3	3	5	3	2	2	1	0	1	1	2	0	1	1	3	2	0	1	3	3	4	4	4	1	3	3	5	4	2	2	2.06399424E8	1.6153752E8	1.9256952E8	1.90055184E8	1.8001296E8	7.1729016E7	2.04901344E8	2.13032352E8	2.7928544E8	1.84206784E8	2.0340536E8	2.03853776E8	1.34810688E8	0.0	1.1986272E8	1.6073504E8	1.56625296E8	0.0	1.31428152E8	1.2646492E8	1.58457792E8	1.08866416E8	1.17479528E8	1.20980752E8	
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens OX=9606	1:Experimental evidence at protein level	Exportin-1	1.0	0.999	19	145	145	145	11	14	14	9	15	12	10	9	15	17	6	13	11	14	14	9	15	12	10	9	15	17	6	13	11	14	14	9	15	12	10	9	15	17	6	13	4.053408E8	4.70162528E8	4.60593568E8	4.7798464E8	5.15644512E8	3.42986304E8	5.19828192E8	7.766711E8	4.59579808E8	4.53720256E8	3.56075456E8	4.11328256E8	1.03752576E8	1.1512312E8	1.09766392E8	1.09630232E8	1.13740224E8	1.04568984E8	1.30349224E8	1.0690092E8	1.15310024E8	1.12299784E8	1.10227008E8	1.10843888E8	
sp|O14981|BTAF1_HUMAN	O14981	BTAF1_HUMAN	BTAF1	1849	Homo sapiens OX=9606	1:Experimental evidence at protein level	TATA-binding protein-associated factor 172	1.0	0.9989	9	18	18	18	4	0	2	1	2	2	1	1	3	1	0	1	4	0	2	1	2	2	1	1	3	1	0	1	4	0	2	1	2	2	1	1	3	1	0	1	1.501157E7	1.2451895E7	1.796124E7	1.2638691E7	1.0926441E7	9068410.0	2.0314136E7	0.0	2.0696648E7	1.1001887E7	0.0	1.5393571E7	6369038.0	0.0	1.4653205E7	0.0	1.4908651E7	0.0	0.0	0.0	1.1899632E7	0.0	0.0	0.0	
sp|O15014|ZN609_HUMAN	O15014	ZN609_HUMAN	ZNF609	1411	Homo sapiens OX=9606	1:Experimental evidence at protein level	Zinc finger protein 609	1.0	0.999	40	288	277	288	26	26	28	18	26	29	26	23	28	23	18	17	25	25	27	18	25	28	25	22	27	22	17	16	26	26	28	18	26	29	26	23	28	23	18	17	1.12956339E9	1.25754163E9	1.64705254E9	1.23621914E9	1.44083622E9	1.57051699E9	1.16319066E9	1.01008314E9	1.18798605E9	1.26451187E9	8.4215795E8	1.041776E9	2.1396176E8	2.28792688E8	2.29727888E8	2.17791504E8	2.00900432E8	2.19291984E8	2.04556272E8	2.07419824E8	1.93528208E8	2.19049296E8	1.9569096E8	1.96468336E8	
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein transport protein Sec16A	1.0	0.999	46	277	277	277	24	27	33	21	21	31	19	13	25	28	19	16	24	27	33	21	21	31	19	13	25	28	19	16	24	27	33	21	21	31	19	13	25	28	19	16	1.17278618E9	1.16138214E9	1.27289997E9	1.12720422E9	1.31184102E9	1.2320361E9	1.27419008E9	8.9528973E8	1.32236621E9	1.11540058E9	6.5095181E8	9.8566906E8	1.76014928E8	1.96614048E8	1.8343744E8	2.05498384E8	1.9179584E8	1.88672032E8	1.99777696E8	1.98498336E8	2.15455888E8	2.04608672E8	2.13817264E8	1.93654816E8	
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	Homo sapiens OX=9606	1:Experimental evidence at protein level	Plexin-B2	0.9439	0.9989	1	7	7	7	0	1	2	1	0	1	0	1	0	1	0	0	0	1	2	1	0	1	0	1	0	1	0	0	0	1	2	1	0	1	0	1	0	1	0	0	1.2687027E7	9035826.0	2800866.5	4834143.0	2398432.2	7866608.5	0.0	8649885.0	0.0	3111888.2	5471519.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O15037|KHNYN_HUMAN	O15037	KHNYN_HUMAN	KHNYN	678	Homo sapiens OX=9606	1:Experimental evidence at protein level	Protein KHNYN	1.0	0.999	7	28	28	28	0	0	0	2	0	1	3	3	5	4	6	4	0	0	0	2	0	1	3	3	5	4	6	4	0	0	0	2	0	1	3	3	5	4	6	4	5.0869176E7	6.1573904E7	6.3416236E7	2.2850466E7	3469039.5	6.7326896E7	1.41166464E8	9.6121392E7	2.65310352E8	1.72571584E8	1.38721808E8	1.18619288E8	0.0	0.0	0.0	0.0	0.0	4.1428904E7	7.4923672E7	7.3213944E7	8.1799944E7	6.233896E7	5.04115E7	5.1589712E7	
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	Homo sapiens OX=9606	1:Experimental evidence at protein level	U2 snRNP-associated SURP motif-containing protein	1.0	0.999	46	417	406	417	34	37	50	32	44	51	24	23	35	37	22	28	33	36	49	31	43	50	24	22	34	36	21	27	34	37	50	32	44	51	24	23	35	37	22	28	3.7391383E9	4.25414298E9	5.3907323E9	4.7569613E9	4.7250806E9	5.1102259E9	3.65895603E9	3.15190426E9	4.4677443E9	4.5077683E9	3.25830502E9	3.2340585E9	4.91420768E8	5.4803834E8	5.7020486E8	5.1268992E8	5.29928032E8	5.5907494E8	4.20792704E8	4.40012864E8	4.68063616E8	5.15245088E8	4.28478208E8	4.19227808E8	
sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	Homo sapiens OX=9606	1:Experimental evidence at protein level	Phosphoribosylformylglycinamidine synthase	1.0	0.999	11	54	54	54	4	2	5	5	6	4	2	5	9	4	4	4	4	2	5	5	6	4	2	5	9	4	4	4	4	2	5	5	6	4	2	5	9	4	4	4	3.04931712E8	3.968348E7	3.947262E7	7.0215144E7	6.1851816E7	6.7605408E7	9.8213464E7	6.4806868E7	1.44597408E8	1.27113616E8	5.6951152E7	1.00173224E8	4.379192E7	3.2393848E7	2.3714408E7	3.522894E7	4.224822E7	4.0444224E7	5.4865628E7	3.846288E7	5.9421324E7	6.2930864E7	4.2267804E7	6.3232252E7	
